pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
66291,NGC7020,317.8338,-64.0253,330.5614,-39.2980,220.7386,6.0736,-1.2,12.47,8.99,10.95,3201,3068,0.00,0,66530,69713,6,330.6947,-39.6764,221.1327,6.0861,7.52,11.54,3236,3104,0,0.00,0,211,78,0.571,0.557,13.272,12.486,-31.15,-26.82,4.37
66318,NGC7029,317.9670,-49.2838,349.5963,-42.8041,229.1762,18.3046,-4.6,12.19,8.61,11.01,2766,2711,37.67,11,66318,66318,4,349.6153,-42.8014,229.1805,18.3182,8.57,11.02,2840,2786,1,37.67,11,134,68,0.363,0.211,12.683,11.943,-23.38,-27.06,11.83
66319,ESO107-014,317.9781,-64.2285,330.2868,-39.2888,220.6807,5.8688,6.9,14.86,12.83,9.41,3299,3165,0.00,0,66530,69713,6,330.6947,-39.6764,221.1327,6.0861,7.52,11.54,3236,3104,0,0.00,0,211,78,0.571,0.557,13.272,12.486,-31.28,-26.89,4.24
66320,ESO235-073,317.9882,-50.3522,348.1518,-42.6766,228.5495,17.4181,9.9,15.95,12.79,9.32,2794,2733,0.00,0,66320,66318,1,348.1518,-42.6766,228.5495,17.4181,12.79,9.32,2794,2733,0,0.00,0,42,0,0.114,,11.179,,-23.02,-26.06,10.91
66331,ESO187-058,318.0435,-57.2781,338.9933,-41.3631,224.5672,11.6627,5.2,13.23,11.24,10.07,3279,3181,0.00,0,66331,66331,1,338.9933,-41.3631,224.5672,11.6627,11.24,10.07,3279,3181,0,0.00,0,63,0,0.170,,11.694,,-29.59,-29.15,8.57
66362,PGC066362,318.2838,-10.8267,39.5189,-36.3225,260.7609,46.7263,4.9,14.25,12.34,9.47,2503,2655,0.00,0,66362,66362,1,39.5189,-36.3225,260.7609,46.7263,12.34,9.47,2503,2655,0,0.00,0,45,0,0.123,,11.272,,-3.90,-23.95,25.77
66376,ESO107-015,318.4291,-63.3364,331.2883,-39.7777,221.3399,6.5060,5.9,13.30,10.83,10.21,3357,3228,0.00,0,66530,69713,6,330.6947,-39.6764,221.1327,6.0861,7.52,11.54,3236,3104,0,0.00,0,211,78,0.571,0.557,13.272,12.486,-31.00,-27.27,4.71
66398,UGC11707,318.6325,26.7347,74.3143,-15.0415,321.1307,55.8025,8.0,14.48,12.24,8.82,906,1196,0.00,0,66398,66398,1,74.3143,-15.0415,321.1307,55.8025,12.24,8.82,906,1196,0,0.00,0,34,0,0.094,,10.916,,6.98,-5.63,13.19
66427,NGC7032,318.8456,-68.2877,325.2914,-38.1042,218.7394,2.2841,5.0,13.32,10.87,10.20,3259,3105,0.00,0,66427,69713,1,325.2914,-38.1042,218.7394,2.2841,10.87,10.20,3259,3105,0,0.00,0,68,0,0.184,,11.801,,-32.27,-25.88,1.65
66445,ESO107-016,319.0248,-64.8167,329.3693,-39.5032,220.7325,5.1299,7.4,13.51,12.30,9.10,1824,1688,0.00,0,66445,66445,1,329.3693,-39.5032,220.7325,5.1299,12.30,9.10,1824,1688,0,0.00,0,38,0,0.104,,11.057,,-16.99,-14.63,2.01
66452,IC5092,319.0604,-64.4647,329.7877,-39.6450,220.9425,5.4133,5.5,12.74,9.95,10.57,3248,3113,0.00,0,66530,69713,6,330.6947,-39.6764,221.1327,6.0861,7.52,11.54,3236,3104,0,0.00,0,211,78,0.571,0.557,13.272,12.486,-31.13,-27.01,3.91
